,N,Y,percent
af,1.0,3.0,0.75
al,2.0,10.0,0.8333333333333334
dz,2.0,1.0,0.3333333333333333
ar,22.0,67.0,0.7528089887640449
am,0.0,9.0,1.0
au,28.0,122.0,0.8133333333333334
at,1.0,15.0,0.9375
az,0.0,7.0,1.0
bs,2.0,8.0,0.8
bh,0.0,1.0,1.0
bd,22.0,98.0,0.8166666666666667
bb,1.0,10.0,0.9090909090909091
by,9.0,36.0,0.8
be,2.0,27.0,0.9310344827586207
bz,0.0,2.0,1.0
bj,0.0,1.0,1.0
bm,1.0,1.0,0.5
bt,0.0,1.0,1.0
bo,4.0,16.0,0.8
ba,0.0,3.0,1.0
bw,1.0,2.0,0.6666666666666666
br,36.0,190.0,0.8407079646017699
bg,8.0,56.0,0.875
bf,1.0,0.0,0.0
mm,0.0,14.0,1.0
bi,1.0,1.0,0.5
kh,2.0,2.0,0.5
cm,1.0,13.0,0.9285714285714286
ca,229.0,1404.0,0.8597672994488671
ky,0.0,2.0,1.0
cf,0.0,2.0,1.0
cl,10.0,29.0,0.7435897435897436
cn,266.0,1861.0,0.8749412317818523
co,44.0,145.0,0.7671957671957672
cr,1.0,27.0,0.9642857142857143
hr,2.0,8.0,0.8
cy,0.0,9.0,1.0
cz,2.0,19.0,0.9047619047619048
cd,1.0,2.0,0.6666666666666666
dk,5.0,9.0,0.6428571428571429
dm,1.0,2.0,0.6666666666666666
do,5.0,30.0,0.8571428571428571
ec,22.0,69.0,0.7582417582417582
eg,12.0,74.0,0.8604651162790697
sv,11.0,26.0,0.7027027027027027
ee,2.0,8.0,0.8
et,7.0,19.0,0.7307692307692307
fj,0.0,1.0,1.0
fi,1.0,8.0,0.8888888888888888
fr,36.0,219.0,0.8588235294117647
ga,0.0,1.0,1.0
gm,0.0,2.0,1.0
ge,0.0,9.0,1.0
de,36.0,224.0,0.8615384615384616
gh,4.0,46.0,0.92
gr,7.0,52.0,0.8813559322033898
gd,3.0,4.0,0.5714285714285714
gt,12.0,20.0,0.625
gy,3.0,8.0,0.7272727272727273
ht,0.0,4.0,1.0
hn,11.0,41.0,0.7884615384615384
hk,4.0,56.0,0.9333333333333333
hu,0.0,20.0,1.0
is,1.0,4.0,0.8
in,3566.0,19650.0,0.8463990351481737
id,22.0,92.0,0.8070175438596491
ir,19.0,104.0,0.8455284552845529
iq,1.0,3.0,0.75
ie,13.0,82.0,0.8631578947368421
il,31.0,185.0,0.8564814814814815
it,43.0,154.0,0.7817258883248731
ci,1.0,5.0,0.8333333333333334
jm,20.0,49.0,0.7101449275362319
jp,60.0,250.0,0.8064516129032258
jo,6.0,52.0,0.896551724137931
kz,0.0,9.0,1.0
ke,6.0,44.0,0.88
xk,1.0,3.0,0.75
kw,1.0,0.0,0.0
kg,0.0,1.0,1.0
lv,0.0,7.0,1.0
lb,18.0,78.0,0.8125
ls,1.0,1.0,0.5
lr,0.0,1.0,1.0
ly,0.0,3.0,1.0
lt,3.0,9.0,0.75
lu,0.0,2.0,1.0
mo,0.0,1.0,1.0
mk,3.0,5.0,0.625
mg,0.0,2.0,1.0
my,17.0,118.0,0.8740740740740741
mv,0.0,1.0,1.0
ml,1.0,1.0,0.5
mt,0.0,1.0,1.0
mu,2.0,4.0,0.6666666666666666
mx,234.0,600.0,0.7194244604316546
md,5.0,7.0,0.5833333333333334
mn,5.0,7.0,0.5833333333333334
ma,2.0,14.0,0.875
mz,0.0,2.0,1.0
np,51.0,274.0,0.8430769230769231
nl,11.0,53.0,0.828125
nz,6.0,29.0,0.8285714285714286
ni,1.0,7.0,0.875
ng,11.0,117.0,0.9140625
kp,0.0,1.0,1.0
no,0.0,10.0,1.0
om,0.0,1.0,1.0
pk,69.0,372.0,0.8435374149659864
ps,1.0,8.0,0.8888888888888888
pa,4.0,10.0,0.7142857142857143
pg,0.0,1.0,1.0
py,3.0,6.0,0.6666666666666666
pe,22.0,71.0,0.7634408602150538
ph,270.0,786.0,0.7443181818181818
pl,32.0,78.0,0.7090909090909091
pt,3.0,22.0,0.88
ro,18.0,102.0,0.85
ru,37.0,169.0,0.8203883495145631
sa,1.0,7.0,0.875
sn,2.0,3.0,0.6
rs,9.0,26.0,0.7428571428571429
sg,11.0,87.0,0.8877551020408163
sk,1.0,9.0,0.9
si,0.0,1.0,1.0
za,13.0,78.0,0.8571428571428571
kr,438.0,1168.0,0.7272727272727273
es,17.0,109.0,0.8650793650793651
lk,15.0,65.0,0.8125
kn,1.0,1.0,0.5
lc,1.0,5.0,0.8333333333333334
vc,0.0,3.0,1.0
sd,0.0,1.0,1.0
sr,2.0,1.0,0.3333333333333333
se,2.0,47.0,0.9591836734693877
ch,6.0,28.0,0.8235294117647058
sy,5.0,52.0,0.9122807017543859
tw,72.0,401.0,0.8477801268498943
tj,2.0,2.0,0.5
tz,2.0,6.0,0.75
th,23.0,79.0,0.7745098039215687
tg,0.0,1.0,1.0
tt,7.0,40.0,0.851063829787234
tn,0.0,7.0,1.0
tr,33.0,240.0,0.8791208791208791
tm,0.0,3.0,1.0
ug,2.0,5.0,0.7142857142857143
ua,21.0,91.0,0.8125
ae,0.0,1.0,1.0
gb,92.0,444.0,0.8283582089552238
us,21.0,57.0,0.7307692307692307
uy,0.0,14.0,1.0
uz,2.0,8.0,0.8
vu,0.0,1.0,1.0
ve,43.0,219.0,0.8358778625954199
vn,9.0,55.0,0.859375
ye,0.0,3.0,1.0
zm,1.0,3.0,0.75
zw,1.0,16.0,0.9411764705882353
