,Category,Citizenship,Application Type,Visa Class,Decision
0,Automotive,ECUADOR,MAILEDIN,EWI,Y
1,Advanced Mfg,INDIA,ONLINE,H-1B,Y
2,Advanced Mfg,PHILIPPINES,ONLINE,L-1,Y
3,Advanced Mfg,INDIA,ONLINE,H-1B,Y
4,Advanced Mfg,INDIA,ONLINE,H-1B,Y
5,Advanced Mfg,INDIA,ONLINE,H-1B,Y
6,Advanced Mfg,INDIA,ONLINE,H-1B,Y
7,IT,COLOMBIA,ONLINE,H-1B,Y
8,IT,INDIA,ONLINE,H-1B,Y
9,Transportation,SOUTH KOREA,ONLINE,E-2,Y
10,IT,INDIA,ONLINE,H-1B,Y
11,IT,GERMANY,ONLINE,H-1B,Y
12,Advanced Mfg,UNITED KINGDOM,ONLINE,H-1B,Y
13,Energy,INDIA,ONLINE,H-1B,Y
14,Geospatial,INDIA,ONLINE,H-1B,Y
15,Health Care,UKRAINE,ONLINE,H-1B,Y
16,IT,INDIA,ONLINE,L-1,Y
17,IT,INDIA,ONLINE,H-1B,Y
18,IT,INDIA,ONLINE,H-1B,Y
19,Construction,EL SALVADOR,MAILEDIN,EWI,Y
20,Construction,EL SALVADOR,MAILEDIN,TPS,Y
21,Hospitality,UNITED STATES OF AMERICA,MAILEDIN,H-1B,Y
22,IT,INDIA,ONLINE,H-1B,Y
23,Construction,POLAND,ONLINE,B-2,Y
24,Finance,INDIA,ONLINE,L-1,Y
25,IT,INDIA,ONLINE,H-1B,Y
26,IT,INDIA,ONLINE,H-1B,Y
27,Advanced Mfg,INDIA,ONLINE,H-1B,Y
28,Advanced Mfg,FRANCE,ONLINE,H-1B,Y
29,Aerospace,CHINA,ONLINE,H-1B,Y
30,IT,INDIA,ONLINE,H-1B,Y
31,IT,INDIA,ONLINE,H-1B,Y
32,IT,INDIA,ONLINE,H-1B,Y
33,Finance,MEXICO,ONLINE,H-1B,Y
34,Advanced Mfg,MEXICO,MAILEDIN,EWI,Y
35,Health Care,NIGERIA,ONLINE,B-1,Y
36,Advanced Mfg,INDIA,ONLINE,H-1B,Y
37,Other Economic Sector,INDIA,ONLINE,H-1B,Y
38,IT,INDIA,ONLINE,L-1,Y
39,Advanced Mfg,CHINA,ONLINE,H-1B,Y
40,Other Economic Sector,INDIA,ONLINE,H-1B,Y
41,Advanced Mfg,INDIA,ONLINE,H-1B,Y
42,Advanced Mfg,INDIA,ONLINE,H-1B,Y
43,Aerospace,NETHERLANDS,ONLINE,L-1,Y
44,Advanced Mfg,INDIA,ONLINE,H-1B,Y
45,IT,INDIA,ONLINE,H-1B,Y
46,Advanced Mfg,INDIA,ONLINE,H-1B,Y
47,Advanced Mfg,EL SALVADOR,ONLINE,EWI,Y
48,Other Economic Sector,INDIA,ONLINE,H-1B,Y
49,Advanced Mfg,INDIA,ONLINE,H-1B,Y
50,IT,INDIA,ONLINE,H-1B,Y
51,Advanced Mfg,TAIWAN,ONLINE,H-1B,Y
52,Other Economic Sector,MEXICO,ONLINE,EWI,Y
53,IT,INDIA,ONLINE,H-1B,Y
54,IT,INDIA,ONLINE,H-1B,Y
55,Hospitality,MEXICO,ONLINE,EWI,Y
56,Retail,INDIA,ONLINE,H-1B,Y
57,Hospitality,MEXICO,MAILEDIN,EWI,Y
58,IT,INDIA,ONLINE,H-1B,Y
59,IT,INDIA,ONLINE,H-1B,Y
60,Finance,INDIA,ONLINE,H-1B,Y
61,IT,BELGIUM,ONLINE,H-1B,Y
62,Other Economic Sector,ECUADOR,ONLINE,EWI,Y
63,IT,INDIA,ONLINE,H-1B,Y
64,Other Economic Sector,CHINA,ONLINE,F-1,Y
65,Health Care,ROMANIA,ONLINE,H-1B,Y
66,Advanced Mfg,MEXICO,MAILEDIN,EWI,Y
67,Other Economic Sector,SOUTH KOREA,ONLINE,E-2,Y
68,Construction,HONDURAS,MAILEDIN,EWI,Y
69,Other Economic Sector,MEXICO,MAILEDIN,H-2B,Y
70,Other Economic Sector,JAMAICA,MAILEDIN,B-2,Y
71,Advanced Mfg,INDIA,ONLINE,H-1B,Y
72,IT,TAIWAN,ONLINE,H-1B,Y
73,IT,INDIA,ONLINE,H-1B,Y
74,Advanced Mfg,INDIA,ONLINE,H-1B,Y
75,IT,INDIA,ONLINE,H-1B,Y
76,IT,SOUTH AFRICA,ONLINE,H-1B,Y
77,Retail,INDIA,ONLINE,H-1B,Y
78,Other Economic Sector,HONDURAS,ONLINE,H-1B,Y
79,Hospitality,MEXICO,MAILEDIN,EWI,Y
80,Other Economic Sector,INDIA,MAILEDIN,H-1B,Y
81,Educational Services,CHINA,ONLINE,H-1B,Y
82,IT,INDIA,ONLINE,H-1B,Y
83,IT,INDIA,ONLINE,H-1B,Y
84,IT,INDIA,ONLINE,H-1B,Y
85,Construction,ITALY,ONLINE,VWT,Y
86,Other Economic Sector,MEXICO,MAILEDIN,H-2B,Y
87,Construction,EL SALVADOR,MAILEDIN,EWI,Y
88,Advanced Mfg,INDIA,ONLINE,H-1B,Y
89,Advanced Mfg,INDIA,ONLINE,H-1B,Y
90,Advanced Mfg,JORDAN,ONLINE,H-1B,Y
91,Educational Services,MEXICO,ONLINE,H-1B,Y
92,Finance,INDIA,MAILEDIN,H-1B,Y
93,Educational Services,CANADA,ONLINE,H-1B,Y
94,IT,INDIA,ONLINE,H-1B,Y
95,IT,INDIA,ONLINE,H-1B,Y
96,IT,INDIA,ONLINE,H-1B,Y
97,IT,INDIA,ONLINE,L-1,Y
98,IT,INDIA,ONLINE,H-1B,Y
99,IT,INDIA,ONLINE,H-1B,Y
100,Health Care,INDIA,ONLINE,H-1B,Y
101,IT,INDIA,ONLINE,H-1B,Y
102,IT,INDIA,ONLINE,H-1B,Y
103,IT,INDIA,ONLINE,H-1B,Y
104,IT,INDIA,ONLINE,Parolee,Y
105,IT,BELARUS,ONLINE,H-1B,Y
106,IT,INDIA,ONLINE,H-1B,Y
107,Automotive,GERMANY,ONLINE,H-1B,Y
108,Educational Services,PHILIPPINES,ONLINE,H-1B,Y
109,IT,INDIA,ONLINE,H-1B,Y
110,IT,INDIA,ONLINE,H-1B,Y
111,Hospitality,SOUTH KOREA,ONLINE,E-2,Y
112,Health Care,MEXICO,MAILEDIN,TN,Y
113,Construction,MEXICO,ONLINE,EWI,Y
114,IT,INDIA,ONLINE,H-1B,Y
115,IT,INDIA,ONLINE,H-1B,Y
116,Advanced Mfg,MEXICO,MAILEDIN,B-2,Y
117,Advanced Mfg,SWEDEN,ONLINE,L-1,Y
118,Retail,INDIA,ONLINE,EWI,Y
119,Aerospace,INDIA,ONLINE,H-1B,Y
120,Advanced Mfg,INDIA,ONLINE,H-1B,Y
121,Advanced Mfg,CHINA,ONLINE,H-1B,Y
122,Other Economic Sector,MEXICO,ONLINE,EWI,Y
123,Advanced Mfg,CHINA,ONLINE,H-1B,Y
124,Retail,UNITED KINGDOM,ONLINE,H-1B,Y
125,IT,JORDAN,ONLINE,H-1B,Y
126,IT,INDIA,ONLINE,Parolee,Y
127,IT,INDIA,ONLINE,H-1B,Y
128,Automotive,GERMANY,ONLINE,H-1B,Y
129,IT,INDIA,ONLINE,H-1B,Y
130,Agribusiness,CHINA,ONLINE,Not in USA,Y
131,IT,INDIA,ONLINE,H-1B,Y
132,IT,CANADA,ONLINE,H-1B,Y
133,Advanced Mfg,CANADA,ONLINE,H-1B,Y
134,Advanced Mfg,TURKEY,ONLINE,H-1B,Y
135,IT,INDIA,ONLINE,H-1B,Y
136,IT,INDIA,ONLINE,H-1B,Y
137,IT,INDIA,ONLINE,H-1B,Y
138,Advanced Mfg,SOUTH KOREA,ONLINE,H-1B,Y
139,Finance,INDIA,ONLINE,H-1B,Y
140,Educational Services,SPAIN,ONLINE,H-1B,Y
141,Other Economic Sector,MEXICO,ONLINE,H-1B,Y
142,IT,NEPAL,ONLINE,H-1B,Y
143,Other Economic Sector,ISRAEL,ONLINE,H-1B,Y
144,Hospitality,NEPAL,ONLINE,Not in USA,Y
145,Hospitality,NEPAL,ONLINE,Not in USA,Y
146,Other Economic Sector,VENEZUELA,ONLINE,H-1B,Y
147,IT,SPAIN,ONLINE,H-1B,Y
148,Aerospace,INDIA,ONLINE,H-1B,Y
149,IT,INDIA,ONLINE,H-1B,Y
150,Educational Services,INDIA,ONLINE,H-4,Y
151,Other Economic Sector,TURKEY,ONLINE,H-1B,Y
152,Educational Services,SOUTH KOREA,ONLINE,F-1,Y
153,Educational Services,SOUTH KOREA,ONLINE,F-1,Y
154,Advanced Mfg,INDIA,ONLINE,H-1B,Y
155,Advanced Mfg,INDIA,ONLINE,H-1B,Y
156,Other Economic Sector,INDIA,ONLINE,H-1B,Y
157,IT,INDIA,ONLINE,H-1B,Y
158,IT,INDIA,ONLINE,H-1B,Y
159,IT,INDIA,ONLINE,H-1B,Y
160,Advanced Mfg,INDIA,ONLINE,H-1B,Y
161,IT,INDIA,ONLINE,H-1B,Y
162,Hospitality,ECUADOR,ONLINE,EWI,Y
163,Educational Services,SOUTH KOREA,ONLINE,H-1B,Y
164,IT,INDIA,ONLINE,H-1B,Y
165,IT,INDIA,ONLINE,H-1B,Y
166,IT,INDIA,ONLINE,L-1,Y
